100001	Arvind	102	30	19800115	20030115	100006	17000	Bangalore
100002	Shyam	102	20	19800218	20020217	100007	20000	Chennai
100003	Mohan	102	10	19800323	20020119	100006	24000	Mumbai
100004	Anil	102	20	19770422	20010311	100006	20000	Hyderabad
100005	John	106	10	19760522	20010121	100007	32000	Bangalore
100006	Allen	103	30	19800122	20010423	100005	42000	Chennai
100007	Smith	103	20	19730719	20020312	100005	62000	Mumbai
100008	Raviraj	102	40	19800617	20030111	100006	18000	Bangalore
100009	Rahul	102	20	19780116	20031211	100006	22000	Hyderabad
100010	Ram	103	30	19790117	20020117	100007	32000	Bangalore
